fecha_inicio,mes_num,mes_nombre,propiedad,noches,ingreso_bruto,ingreso_neto,tarifa_servicio,tarifa_limpeza,ocupacion_pct
2026-03-04,3,March,Casa 3min USA,5.0,7497.0,6149.03,1347.97,900.0,16.7
2026-03-04,3,March,Casa de Rigo,6.0,6800.0,5577.36,1222.64,850.0,20.0
2026-03-04,3,March,Casa del Parque,5.0,6280.0,5150.86,1129.14,850.0,16.7
2026-03-03,3,March,Casa del Parque,1.0,1650.0,1353.33,296.67,750.0,3.3
2026-03-02,3,March,Emily House,2.0,1940.0,1591.19,348.81,500.0,6.7
2026-03-02,3,March,Casa Zoe,4.0,4450.0,3649.89,800.11,850.0,13.3
2026-03-02,3,March,Casa Alegre,26.0,24542.05,20129.39,4412.66,850.0,86.7
2026-03-01,3,March,Casa del Parque,2.0,2750.0,2255.55,494.45,750.0,6.7
2026-03-01,3,March,Casa de las Flores,5.0,5890.0,4830.91,1059.09,850.0,16.7
2026-02-26,2,February,Casa de Ineva,4.0,5055.18,4146.26,908.92,850.0,13.3
2026-02-26,2,February,Casa 3min USA,1.0,2150.0,1763.43,386.57,750.0,3.3
2026-02-27,2,February,Casa Alegre,2.0,2263.21,1856.28,406.93,650.0,6.7
2026-02-27,2,February,Casa 5min CAS,5.0,5320.0,4363.51,956.49,850.0,16.7
2026-02-27,2,February,Casa Zoe,2.0,2820.0,2312.96,507.04,750.0,6.7
2026-02-27,2,February,Emily House,2.0,2407.1,1974.3,432.8,500.0,6.7
2026-02-27,2,February,Casa de las Flores,2.0,2703.0,2217.06,485.94,750.0,6.7
2026-02-27,2,February,Casa 5min USA,3.0,3604.0,2956.05,647.95,850.0,10.0
2026-02-27,2,February,Casa del Parque,2.0,2559.0,2098.89,460.11,750.0,6.7
2026-02-27,2,February,Casa 3min USA,2.0,4040.0,3313.63,726.37,750.0,6.7
2026-02-25,2,February,Casa de Rigo,5.0,5800.0,4757.16,1042.84,850.0,16.7
2026-02-25,2,February,Casa 5min USA,2.0,2467.76,2024.06,443.7,750.0,6.7
2026-02-24,2,February,Casa Super Comoda,12.0,12309.85,10096.54,2213.31,850.0,40.0
2026-02-23,2,February,Casa 3min USA,2.0,3550.0,2911.71,638.29,750.0,6.7
2026-02-23,2,February,Casa del Parque,4.0,4459.0,3657.27,801.73,850.0,13.3
2026-02-23,2,February,Casa Zoe,4.0,4450.0,3649.89,800.11,850.0,13.3
2026-02-23,2,February,Emily House,2.0,2120.0,1738.82,381.18,500.0,6.7
2026-02-22,2,February,Casa de Ineva,2.0,2770.0,2271.95,498.05,700.0,6.7
2026-02-21,2,February,Casa 3min USA,1.0,2400.0,1968.49,431.51,750.0,3.3
2026-02-21,2,February,Casa de Ineva,1.0,1890.0,1550.1,339.9,700.0,3.3
2026-02-21,2,February,Casa Alegre,1.0,1670.0,1369.78,300.22,650.0,3.3
2026-02-21,2,February,Casa de Rigo,2.0,2219.96,1820.82,399.14,650.0,6.7
2026-02-21,2,February,Casa Zoe,2.0,2800.0,2296.46,503.54,750.0,6.7
2026-02-20,2,February,Emily House,3.0,3800.0,3116.79,683.21,850.0,10.0
2026-02-20,2,February,Casa Super Comoda,3.0,4200.0,3444.84,755.16,850.0,10.0
2026-02-19,2,February,Casa de las Flores,5.0,6160.0,5052.5,1107.5,850.0,16.7
2026-02-19,2,February,Casa del Parque,4.0,4720.0,3871.34,848.66,850.0,13.3
2026-02-18,2,February,Casa 5min USA,5.0,6500.0,5331.3,1168.7,850.0,16.7
2026-02-17,2,February,Casa 5min CAS,6.0,5832.22,4783.66,1048.56,850.0,20.0
2026-02-17,2,February,Emily House,2.0,2359.21,1935.02,424.19,500.0,6.7
2026-02-16,2,February,Casa 3min USA,4.0,5940.0,4871.99,1068.01,900.0,13.3
2026-02-14,2,February,Casa 3min USA,2.0,3840.0,3149.5,690.5,750.0,6.7
2026-02-14,2,February,Casa de las Flores,1.0,1940.0,1591.16,348.84,750.0,3.3
2026-02-14,2,February,Casa 5min USA,2.0,2770.0,2271.93,498.07,750.0,6.7
2026-02-14,2,February,Casa Alegre,2.0,2650.0,2173.46,476.54,650.0,6.7
2026-02-14,2,February,Casa 2 rec,1.0,1710.0,1402.54,307.46,650.0,3.3
2026-02-13,2,February,Casa 5min CAS,1.0,1430.56,1173.34,257.22,650.0,3.3
2026-02-13,2,February,Emily House,2.0,2590.0,2124.4,465.6,500.0,6.7
2026-02-13,2,February,Casa de Rigo,4.0,4850.0,3977.97,872.03,850.0,13.3
2026-02-09,2,February,Casa de Ineva,10.0,3624.5,2972.81,651.69,0.0,33.3
2026-02-12,2,February,Casa 3min USA,1.0,2180.0,1788.04,391.96,750.0,3.3
2026-02-12,2,February,Casa Zoe,6.0,7560.0,6200.71,1359.29,850.0,20.0
2026-02-12,2,February,Casa 5min USA,2.0,2780.0,2280.13,499.87,750.0,6.7
2026-02-07,2,February,Casa del Parque,11.0,3145.45,2579.9,565.55,0.0,36.7
2026-02-11,2,February,Casa 3min USA,1.0,2150.0,1763.43,386.57,750.0,3.3
2026-02-11,2,February,Casa Alegre,3.0,3850.0,3157.73,692.27,850.0,10.0
2026-02-10,2,February,Casa 3min USA,1.0,1904.3,1561.85,342.45,750.0,3.3
2026-02-10,2,February,Casa 5min USA,2.0,2650.0,2173.53,476.47,750.0,6.7
2026-02-09,2,February,Casa de las Flores,4.0,4742.5,3889.8,852.7,850.0,13.3
2026-02-09,2,February,Emily House,2.0,2131.15,1747.97,383.18,500.0,6.7
2026-02-09,2,February,Casa de Ineva,10.0,7400.0,6069.48,1330.52,850.0,33.3
2026-02-07,2,February,Casa del Parque,11.0,3026.55,2482.37,544.18,0.0,36.7
2026-02-07,2,February,Emily House,1.0,1397.6,1146.29,251.31,500.0,3.3
